tanggal;beras_premium
15/07/2022;12320
16/07/2022;12270
17/07/2022;12310
18/07/2022;12290
19/07/2022;12250
20/07/2022;12290
21/07/2022;12350
22/07/2022;12340
23/07/2022;12340
24/07/2022;12360
25/07/2022;12370
26/07/2022;12350
27/07/2022;12360
28/07/2022;12350
29/07/2022;12350
30/07/2022;12340
31/07/2022;12360
01/08/2022;12360
02/08/2022;12360
03/08/2022;12375
04/08/2022;12390
05/08/2022;12380
06/08/2022;12380
07/08/2022;12360
08/08/2022;12350
09/08/2022;12340
10/08/2022;12340
11/08/2022;12360
12/08/2022;12360
13/08/2022;12430
14/08/2022;12410
15/08/2022;12420
16/08/2022;12410
17/08/2022;12430
18/08/2022;12390
19/08/2022;12410
20/08/2022;12400
21/08/2022;12430
22/08/2022;12430
23/08/2022;12390
24/08/2022;12400
25/08/2022;12410
26/08/2022;12410
27/08/2022;12420
28/08/2022;12420
29/08/2022;12410
30/08/2022;12410
31/08/2022;12420
01/09/2022;12370
02/09/2022;12420
03/09/2022;12420
04/09/2022;12410
05/09/2022;12480
06/09/2022;12490
07/09/2022;12510
08/09/2022;12530
09/09/2022;12530
10/09/2022;12540
11/09/2022;12530
12/09/2022;12540
13/09/2022;12520
14/09/2022;12540
15/09/2022;12550
16/09/2022;12540
17/09/2022;12560
18/09/2022;12560
19/09/2022;12560
20/09/2022;12620
21/09/2022;12530
22/09/2022;12580
23/09/2022;12540
24/09/2022;12560
25/09/2022;12600
26/09/2022;12600
27/09/2022;12570
28/09/2022;12620
29/09/2022;12620
30/09/2022;12580
01/10/2022;12600
02/10/2022;12600
03/10/2022;12610
04/10/2022;12580
05/10/2022;12620
06/10/2022;12570
07/10/2022;12570
08/10/2022;12550
09/10/2022;12550
10/10/2022;12570
11/10/2022;12600
12/10/2022;12590
13/10/2022;12590
14/10/2022;12640
15/10/2022;12640
16/10/2022;12680
17/10/2022;12640
18/10/2022;12630
19/10/2022;12640
20/10/2022;12640
21/10/2022;12640
22/10/2022;12640
23/10/2022;12630
24/10/2022;12640
25/10/2022;12590
26/10/2022;12630
27/10/2022;12660
28/10/2022;12720
29/10/2022;12620
30/10/2022;12610
31/10/2022;12670
01/11/2022;12660
02/11/2022;12670
03/11/2022;12680
04/11/2022;12670
05/11/2022;12660
06/11/2022;12660
07/11/2022;12620
08/11/2022;12630
09/11/2022;12600
10/11/2022;12630
11/11/2022;12630
12/11/2022;12630
13/11/2022;12630
14/11/2022;12610
15/11/2022;12660
16/11/2022;12660
17/11/2022;12680
18/11/2022;12590
19/11/2022;12600
20/11/2022;12610
21/11/2022;12670
22/11/2022;12610
23/11/2022;12650
24/11/2022;12590
25/11/2022;12650
26/11/2022;12630
27/11/2022;12570
28/11/2022;12620
29/11/2022;12590
30/11/2022;12550
01/12/2022;12610
02/12/2022;12610
03/12/2022;12600
04/12/2022;12570
05/12/2022;12640
06/12/2022;12670
07/12/2022;12650
08/12/2022;12710
09/12/2022;12680
10/12/2022;12710
11/12/2022;12730
12/12/2022;12790
13/12/2022;12830
14/12/2022;12830
15/12/2022;12800
16/12/2022;12950
17/12/2022;12910
18/12/2022;12930
19/12/2022;12950
20/12/2022;12930
21/12/2022;12910
22/12/2022;12880
23/12/2022;12880
24/12/2022;12880
25/12/2022;12870
26/12/2022;12880
27/12/2022;12910
28/12/2022;12840
29/12/2022;12910
30/12/2022;12840
31/12/2022;12930
01/01/2023;12890
02/01/2023;12910
03/01/2023;12870
04/01/2023;12900
05/01/2023;12890
06/01/2023;12830
07/01/2023;12930
08/01/2023;12930
09/01/2023;12870
10/01/2023;12960
11/01/2023;12970
12/01/2023;12970
13/01/2023;13000
14/01/2023;13000
15/01/2023;13010
16/01/2023;13010
17/01/2023;13090
18/01/2023;13150
19/01/2023;13220
20/01/2023;13270
21/01/2023;13250
22/01/2023;13330
23/01/2023;13320
24/01/2023;13310
25/01/2023;13320
26/01/2023;13340
27/01/2023;13390
28/01/2023;13320
29/01/2023;13360
30/01/2023;13360
31/01/2023;13390
01/02/2023;13350
02/02/2023;13410
03/02/2023;13390
04/02/2023;13430
05/02/2023;13500
06/02/2023;13460
07/02/2023;13480
08/02/2023;13500
09/02/2023;13480
10/02/2023;13570
11/02/2023;13570
12/02/2023;13540
13/02/2023;13580
14/02/2023;13600
15/02/2023;13570
16/02/2023;13670
17/02/2023;13660
18/02/2023;13640
19/02/2023;13640
20/02/2023;13610
21/02/2023;13710
22/02/2023;13580
23/02/2023;13620
24/02/2023;13640
25/02/2023;13620
26/02/2023;13630
27/02/2023;13650
28/02/2023;13510
01/03/2023;13630
02/03/2023;13570
03/03/2023;13570
04/03/2023;13580
05/03/2023;13580
06/03/2023;13600
07/03/2023;13570
08/03/2023;13490
09/03/2023;13490
10/03/2023;13500
11/03/2023;13480
12/03/2023;13450
13/03/2023;13450
14/03/2023;13400
15/03/2023;13400
16/03/2023;13480
17/03/2023;13440
18/03/2023;13460
19/03/2023;13390
20/03/2023;13430
21/03/2023;13440
22/03/2023;13460
23/03/2023;13450
24/03/2023;13450
25/03/2023;13440
26/03/2023;13410
27/03/2023;13450
28/03/2023;13470
29/03/2023;13450
30/03/2023;13470
31/03/2023;13470
01/04/2023;13470
02/04/2023;13460
03/04/2023;13430
04/04/2023;13440
05/04/2023;13410
06/04/2023;13430
07/04/2023;13430
08/04/2023;13470
09/04/2023;13440
10/04/2023;13440
11/04/2023;13430
12/04/2023;13450
13/04/2023;13470
14/04/2023;13410
15/04/2023;13450
16/04/2023;13480
17/04/2023;13500
18/04/2023;13460
19/04/2023;13490
20/04/2023;13450
21/04/2023;13470
22/04/2023;13450
23/04/2023;13450
24/04/2023;13470
25/04/2023;13550
26/04/2023;13470
27/04/2023;13480
28/04/2023;13490
29/04/2023;13460
30/04/2023;13480
01/05/2023;13480
02/05/2023;13500
03/05/2023;13450
04/05/2023;13480
05/05/2023;13450
06/05/2023;13520
07/05/2023;13550
08/05/2023;13480
09/05/2023;13600
10/05/2023;13480
11/05/2023;13470
12/05/2023;13460
13/05/2023;13450
14/05/2023;13480
15/05/2023;13460
16/05/2023;13510
17/05/2023;13460
18/05/2023;13510
19/05/2023;13520
20/05/2023;13550
21/05/2023;13520
22/05/2023;13520
23/05/2023;13510
24/05/2023;13480
25/05/2023;13490
26/05/2023;13510
27/05/2023;13530
28/05/2023;13510
29/05/2023;13490
30/05/2023;13530
31/05/2023;13510
01/06/2023;13530
02/06/2023;13540
03/06/2023;13540
04/06/2023;13560
05/06/2023;13570
06/06/2023;13550
07/06/2023;13560
08/06/2023;13580
09/06/2023;13560
10/06/2023;13560
11/06/2023;13550
12/06/2023;13560
13/06/2023;13570
14/06/2023;13560
15/06/2023;13560
16/06/2023;13520
17/06/2023;13550
18/06/2023;13500
19/06/2023;13560
20/06/2023;13530
21/06/2023;13560
22/06/2023;13590
23/06/2023;13540
24/06/2023;13540
25/06/2023;13550
26/06/2023;13540
27/06/2023;13530
28/06/2023;13580
29/06/2023;13520
30/06/2023;13560
01/07/2023;13530
02/07/2023;13610
03/07/2023;13650
04/07/2023;13570
05/07/2023;13570
06/07/2023;13540
07/07/2023;13580
08/07/2023;13560
09/07/2023;13560
10/07/2023;13610
11/07/2023;13620
12/07/2023;13600
13/07/2023;13600
14/07/2023;13630
15/07/2023;13590
16/07/2023;13590
17/07/2023;13600
18/07/2023;13610
19/07/2023;13590
20/07/2023;13620
21/07/2023;13630
22/07/2023;13650
23/07/2023;13610
24/07/2023;13620
25/07/2023;13660
26/07/2023;13630
27/07/2023;13640
28/07/2023;13670
29/07/2023;13660
30/07/2023;13660
31/07/2023;13690
01/08/2023;13660
02/08/2023;13730
03/08/2023;13710
04/08/2023;13700
05/08/2023;13700
06/08/2023;13710
07/08/2023;13710
08/08/2023;13700
09/08/2023;13720
10/08/2023;13710
11/08/2023;13710
12/08/2023;13710
13/08/2023;13720
14/08/2023;13760
15/08/2023;13770
16/08/2023;13760
17/08/2023;13680
18/08/2023;13800
19/08/2023;13790
20/08/2023;13810
21/08/2023;13830
22/08/2023;13810
23/08/2023;13870
24/08/2023;13830
25/08/2023;13850
26/08/2023;13900
27/08/2023;13860
28/08/2023;13870
29/08/2023;13870
30/08/2023;13900
31/08/2023;13950
01/09/2023;13960
02/09/2023;13960
03/09/2023;13970
04/09/2023;14000
05/09/2023;14060
06/09/2023;14080
07/09/2023;14070
08/09/2023;14150
09/09/2023;14190
10/09/2023;14210
11/09/2023;14190
12/09/2023;14240
13/09/2023;14230
14/09/2023;14310
15/09/2023;14230
16/09/2023;14370
17/09/2023;14320
18/09/2023;14380
19/09/2023;14250
20/09/2023;14320
21/09/2023;14500
22/09/2023;14580
23/09/2023;14630
24/09/2023;14600
25/09/2023;14580
26/09/2023;14580
27/09/2023;14620
28/09/2023;14650
29/09/2023;14600
30/09/2023;14620
01/10/2023;14620
02/10/2023;14630
03/10/2023;14660
04/10/2023;14660
05/10/2023;14650
06/10/2023;14650
07/10/2023;14630
08/10/2023;14680
09/10/2023;14670
10/10/2023;14670
11/10/2023;14550
12/10/2023;14610
13/10/2023;14640
14/10/2023;14610
15/10/2023;14550
16/10/2023;14560
17/10/2023;14600
18/10/2023;14640
19/10/2023;14670
20/10/2023;14660
21/10/2023;14640
22/10/2023;14640
23/10/2023;14620
24/10/2023;14570
25/10/2023;14630
26/10/2023;14620
27/10/2023;14720
28/10/2023;14670
29/10/2023;14620
30/10/2023;14690
31/10/2023;14640
01/11/2023;14660
02/11/2023;14630
03/11/2023;14630
04/11/2023;14560
05/11/2023;14650
06/11/2023;14660
07/11/2023;14640
08/11/2023;14680
09/11/2023;14610
10/11/2023;14620
11/11/2023;14670
12/11/2023;14640
13/11/2023;14660
14/11/2023;14620
15/11/2023;14660
16/11/2023;14650
17/11/2023;14640
18/11/2023;14670
19/11/2023;14620
20/11/2023;14580
21/11/2023;14630
22/11/2023;14650
23/11/2023;14660
24/11/2023;14660
25/11/2023;14700
26/11/2023;14670
27/11/2023;14680
28/11/2023;14680
29/11/2023;14660
30/11/2023;14690
01/12/2023;14640
02/12/2023;14680
03/12/2023;14680
04/12/2023;14670
05/12/2023;14670
06/12/2023;14690
07/12/2023;14690
08/12/2023;14660
09/12/2023;14730
10/12/2023;14730
11/12/2023;14670
12/12/2023;14710
13/12/2023;14640
14/12/2023;14740
15/12/2023;14690
16/12/2023;14750
17/12/2023;14730
18/12/2023;14710
19/12/2023;14680
20/12/2023;14670
21/12/2023;14740
22/12/2023;14720
23/12/2023;14700
24/12/2023;14700
25/12/2023;14740
26/12/2023;14690
27/12/2023;14770
28/12/2023;14800
29/12/2023;14680
30/12/2023;14780
31/12/2023;14770
01/01/2024;14680
02/01/2024;14680
03/01/2024;14710
04/01/2024;14710
05/01/2024;14700
06/01/2024;14680
07/01/2024;14700
08/01/2024;14720
09/01/2024;14720
10/01/2024;14710
11/01/2024;14730
12/01/2024;14690
13/01/2024;14690
14/01/2024;14710
15/01/2024;14720
16/01/2024;14710
17/01/2024;14710
18/01/2024;14750
19/01/2024;14760
20/01/2024;14800
21/01/2024;14750
22/01/2024;14830
23/01/2024;14870
24/01/2024;14860
25/01/2024;14900
26/01/2024;14900
27/01/2024;15000
28/01/2024;14930
29/01/2024;14970
30/01/2024;15010
31/01/2024;15030
01/02/2024;15010
02/02/2024;15060
03/02/2024;15100
04/02/2024;15070
05/02/2024;15130
06/02/2024;15130
07/02/2024;15180
08/02/2024;15160
09/02/2024;15020
10/02/2024;15220
11/02/2024;15190
12/02/2024;15270
13/02/2024;15250
14/02/2024;15380
15/02/2024;15280
16/02/2024;15270
17/02/2024;15290
18/02/2024;15310
19/02/2024;15360
20/02/2024;15340
21/02/2024;15390
22/02/2024;15290
23/02/2024;15320
24/02/2024;15360
25/02/2024;15360
26/02/2024;15490
27/02/2024;15460
28/02/2024;15530
29/02/2024;15460
01/03/2024;15550
02/03/2024;15500
03/03/2024;15490
04/03/2024;15470
05/03/2024;15420
06/03/2024;15440
07/03/2024;15450
08/03/2024;15420
09/03/2024;15450
10/03/2024;15440
11/03/2024;15440
12/03/2024;15490
13/03/2024;15440
14/03/2024;15390
15/03/2024;15400
16/03/2024;15420
17/03/2024;15390
18/03/2024;15320
19/03/2024;15330
20/03/2024;15320
21/03/2024;15320
22/03/2024;15360
23/03/2024;15280
24/03/2024;15280
25/03/2024;15320
26/03/2024;15340
27/03/2024;15320
28/03/2024;15260
29/03/2024;15340
30/03/2024;15320
31/03/2024;15280
01/04/2024;15200
02/04/2024;15290
03/04/2024;15260
04/04/2024;15280
05/04/2024;15250
06/04/2024;15220
07/04/2024;15290
08/04/2024;15250
09/04/2024;15390
10/04/2024;14970
11/04/2024;14970
12/04/2024;15250
13/04/2024;15250
14/04/2024;15270
15/04/2024;15300
16/04/2024;15290
17/04/2024;15360
18/04/2024;15280
19/04/2024;15320
20/04/2024;15330
21/04/2024;15350
22/04/2024;15310
23/04/2024;15320
24/04/2024;15350
25/04/2024;15290
26/04/2024;15270
27/04/2024;15320
28/04/2024;15210
29/04/2024;15300
30/04/2024;15310
01/05/2024;15290
02/05/2024;15210
03/05/2024;15290
04/05/2024;15270
05/05/2024;15300
06/05/2024;15290
07/05/2024;15270
08/05/2024;15240
09/05/2024;15310
10/05/2024;15280
11/05/2024;15300
12/05/2024;15310
13/05/2024;15300
14/05/2024;15240
15/05/2024;15280
16/05/2024;15300
17/05/2024;15310
18/05/2024;15230
19/05/2024;15310
20/05/2024;15320
21/05/2024;15320
22/05/2024;15320
23/05/2024;15280
24/05/2024;15330
25/05/2024;15310
26/05/2024;15310
27/05/2024;15250
28/05/2024;15280
29/05/2024;15260
30/05/2024;15340
31/05/2024;15290
